Universidad,url_universidad,ciudad,estado,n_profesores
A y en ES1Q1E-1PN 1 rata tr4nzando llamada S1lva Ol1ver 6PE,https://www.misprofesores.com/escuelas/A-y-en-ES1Q1E1PN-1-rata-tr4nzando-llamada-S1lva-Ol1ver-6PE_12164,    cd de mexico.,CD DE MEXICO,1
A- ESIQIE-IPN,https://www.misprofesores.com/escuelas/A-ESIQIEIPN_12021,CD DEMEXICO,CD DE MEXICO,1
A.-.ESIQIE-IPN,https://www.misprofesores.com/escuelas/AESIQIEIPN_12026,CD DE MEXICO,CD DE MEXICO,1
A.-IPN-ESIQIE,https://www.misprofesores.com/escuelas/AIPNESIQIE_12025,CD DE MEXICO,CD DE MEXICO,1
aa Universidad Pedagógica Nacional (UPN) AJUSCO,https://www.misprofesores.com/escuelas/aa-Universidad-Pedagogica-Nacional-UPN-AJUSCO_3189,Tlalpan,"Ciudad de México, D.F.",119
AAA - ACADEMIA ACTUALIZADA DE AGRONOMIA,https://www.misprofesores.com/escuelas/AAA-ACADEMIA-ACTUALIZADA-DE-AGRONOMIA_11642,    cd de mexico.,CD DE MEXICO,1
AAB - ACADEMIA ACTUALIZADA DE ARQUITECTURA,https://www.misprofesores.com/escuelas/AAB-ACADEMIA-ACTUALIZADA-DE-ARQUITECTURA_11428,-NUVE, BAJA CALIFORNIA,4
AABONE TAILOR,https://www.misprofesores.com/escuelas/AABONE-TAILOR_11636,AGUASCALIENTES .,AGUASCALIENTES,1
AAG - ACADEMIA ACTUALIZADA EN GANADERIA-  6,https://www.misprofesores.com/escuelas/AAG-ACADEMIA-ACTUALIZADA-EN-GANADERIA-6_11448,CD VICTORIA,TAMAULIPAS,2
AAIN H MARTIN,https://www.misprofesores.com/escuelas/AAIN-H-MARTIN_11640,CHIAPAS,CHIAPAS,3
aateneo fuente ramos arizpe,https://www.misprofesores.com/escuelas/aateneo-fuente-ramos-arizpe_2574,ramos arizpe,coahuila,3
Abel Suarez De Leon,https://www.misprofesores.com/escuelas/Abel-Suarez-De-Leon_9442,Saltillo,Coahuila,2
ACA - ACADEMIA CIENTIFICA DE ARQUITECTURA,https://www.misprofesores.com/escuelas/ACA-ACADEMIA-CIENTIFICA-DE-ARQUITECTURA_11439,-NERI,Z0 CATECAS,1
Academia antidemocrático feminista,https://www.misprofesores.com/escuelas/Academia-antidemocratico-feminista_8558,"Ni sirven de nada pinches putas, vayan a limpiar la cocina",Chinguen a su madre todas las feministas,4
ACADEMIA CIENTIFICA IDIOMATICA - 28,https://www.misprofesores.com/escuelas/ACADEMIA-CIENTIFICA-IDIOMATICA-28_11464,AGUASCALIENTES,AGUASCALIENTES,1
academia comercial cambridge,https://www.misprofesores.com/escuelas/academia-comercial-cambridge_5069,mexico,,3
ACADEMIA CRISTOBAL DE LAS AMERICAS,https://www.misprofesores.com/escuelas/ACADEMIA-CRISTOBAL-DE-LAS-AMERICAS_6769,México,"MÉXICO,CP 5785",2
Academia de Arte Dramatico,https://www.misprofesores.com/escuelas/Academia-de-Arte-Dramatico_11490,Cdmx ,Mexico,2
Academia De La Danza Mexicana INBA,https://www.misprofesores.com/escuelas/Academia-De-La-Danza-Mexicana-INBA_5358,D.F,Cdmx,2
Academia de Musica Fermatta,https://www.misprofesores.com/escuelas/Academia-de-Musica-Fermatta_1636,Guadalajara,Jalisco,8
Academia de Musica Fermatta,https://www.misprofesores.com/escuelas/Academia-de-Musica-Fermatta_12121,Queretaro,Queretaro,1
